*	*	*	*	present	present	past	past	present	present		
be-inherently	indicative	1	plural	𐍅𐌹𐍃𐌰𐌼	wisam	𐍅𐌴𐍃𐌿𐌼	wēsum	𐍅𐌹𐍃𐌰𐌽𐌳𐌰	wisanda		
be-inherently	indicative	2	plural	𐍅𐌹𐍃𐌹𐌸	wisiþ	𐍅𐌴𐍃𐌿𐌸	wēsuþ	𐍅𐌹𐍃𐌰𐌽𐌳𐌰	wisanda		
be-inherently	indicative	3	plural	𐍅𐌹𐍃𐌰𐌽𐌳	wisand	𐍅𐌴𐍃𐌿𐌽	wēsun	𐍅𐌹𐍃𐌰𐌽𐌳𐌰	wisanda		
be-inherently	subjunctive	2	singular	𐍅𐌹𐍃𐌰𐌿	wisau	𐍅𐌴𐍃𐌾𐌰𐌿	wēsjau	𐍅𐌹𐍃𐌰𐌹𐌳𐌰𐌿	wisaidau		
be-inherently	subjunctive	3	singular	𐍅𐌹𐍃𐌰𐌹𐍃	wisais	𐍅𐌴𐍃𐌴𐌹𐍃	wēseis	𐍅𐌹𐍃𐌰𐌹𐌶𐌰𐌿	wisaizau		
be-inherently	subjunctive	2	dual	𐍅𐌹𐍃𐌰𐌹	wisai	𐍅𐌴𐍃𐌹	wēsi	𐍅𐌹𐍃𐌰𐌹𐌳𐌰𐌿	wisaidau		
be-inherently	subjunctive	2	plural	𐍅𐌹𐍃𐌰𐌹𐍅𐌰	wisaiwa	𐍅𐌴𐍃𐌴𐌹𐍅𐌰	wēseiwa	—	—		
be-inherently	subjunctive	3	plural	𐍅𐌹𐍃𐌰𐌹𐍄𐍃	wisaits	𐍅𐌴𐍃𐌴𐌹𐍄𐍃	wēseits	—	—		
be-inherently	subjunctive	1	plural	𐍅𐌹𐍃𐌰𐌹𐌼𐌰	wisaima	𐍅𐌴𐍃𐌴𐌹𐌼𐌰	wēseima	𐍅𐌹𐍃𐌰𐌹𐌽𐌳𐌰𐌿	wisaindau		
be-inherently	subjunctive	2	plural	𐍅𐌹𐍃𐌰𐌹𐌸	wisaiþ	𐍅𐌴𐍃𐌴𐌹𐌸	wēseiþ	𐍅𐌹𐍃𐌰𐌹𐌽𐌳𐌰𐌿	wisaindau		
be-inherently	subjunctive	3	plural	𐍅𐌹𐍃𐌰𐌹𐌽𐌰	wisaina	𐍅𐌴𐍃𐌴𐌹𐌽𐌰	wēseina	𐍅𐌹𐍃𐌰𐌹𐌽𐌳𐌰𐌿	wisaindau		
be-inherently	imperative	2	singular	𐍅𐌹𐍃	wis						
be-inherently	imperative	3	singular	𐍅𐌹𐍃𐌰𐌳𐌰𐌿	wisadau						
be-inherently	imperative	2	dual	𐍅𐌹𐍃𐌰𐍄𐍃	wisats						
be-inherently	imperative	2	plural	𐍅𐌹𐍃𐌹𐌸	wisiþ						
be-inherently	imperative	3	plural	𐍅𐌹𐍃𐌰𐌽𐌳𐌰𐌿	wisandau						
be-inherently	participle			𐍅𐌹𐍃𐌰𐌽𐌳𐍃	wisands	𐍅𐌹𐍃𐌰𐌽𐍃	wisans				
climb	infinitive			𐍃𐍄𐌴𐌹𐌲𐌰𐌽	steigan	𐍃𐍄𐌴𐌹𐌲𐌰𐌽	steigan	𐍃𐍄𐌴𐌹𐌲𐌰𐌽	steigan	#	class 1 strong
climb	indicative	1	singular	𐍃𐍄𐌴𐌹𐌲𐌰	steiga	𐍃𐍄𐌰𐌹𐌲	staig	𐍃𐍄𐌴𐌹𐌲𐌰𐌳𐌰	steigada		
