				nominative	accusative	genitive	dative	locative	ablative
tonic	personal	1	singular	uk	ammuk (uk)	ammēl	ammuk	ammuk	ammēdaz(a)
tonic	personal	2	singular	zik	tuk	tuēl	tuk	tuk	tuēdaz(a)
tonic	personal	1	plural	wēs	anzās	anzēl	anzās	anzās	anzēdaz
tonic	personal	2	plural	sum(m)ēs	sum(m)ās	sum(m)enzan	sum(m)ās	sum(m)ās	sum(m)ēdaz
tonic	personal	3	singular	apās	apās	apenzan	apās	apās	apēdaz
tonic	reflexive	1	singular	ukila					
tonic	reflexive	2	singular	zikila					
tonic	reflexive	1	plural	wēsila					
tonic	reflexive	2	plural	sumāsila					
tonic	reflexive	3	singular	apāsila	apāsilus	apenzan	apās	apās	apēdaz
tonic	reflexive	3	plural	apāsila					
enclitic	personal	1	singular		me		me	me	
enclitic	personal	2	singular		ta		ta	ta	
enclitic	personal	3	singular	as	an		si	si	
enclitic	personal	1	plural		nas		nas	nas	
enclitic	personal	2	plural		smas		smas	smas	
enclitic	personal	3	plural	e	us		smas	smas	
