Matthew S. Dryer. 2013. Position of Pronominal Possessive Affixes.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
(Available online at http://wals.info/chapter/57, Accessed on 2025-03-22.)

wals code	name	value	description	latitude	longitude	genus	family	area
aar	Aari	4	No possessive affixes	6.0	36.5833333333	South Omotic	Afro-Asiatic	Nominal Categories
abi	Abipón	3	Prefixes and suffixes	-29.0	-61.0	Abipon	Guaicuruan	Nominal Categories
abk	Abkhaz	1	Possessive prefixes	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Categories
abv	Abui	1	Possessive prefixes	-8.25	124.666666667	Alor-Pantar	Greater West Bomberai	Nominal Categories
ace	Acehnese	4	No possessive affixes	5.5	95.5	Malayo-Sumbawan	Austronesian	Nominal Categories
acg	Achagua	1	Possessive prefixes	4.41666666667	-72.25	Japura-Colombia	Arawakan	Nominal Categories
acl	Acholi	2	Possessive suffixes	3.0	32.6666666667	Western Nilotic	Eastern Sudanic	Nominal Categories
acu	Achuar	2	Possessive suffixes	-2.66667	-76.0	Jivaroan	Jivaroan	Nominal Categories
aco	Acoma	1	Possessive prefixes	34.9166666667	-107.583333333	Keresan	Keresan	Nominal Categories
adg	Adang	1	Possessive prefixes	-8.2	124.0	Alor-Pantar	Greater West Bomberai	Nominal Categories
adi	Adioukrou	4	No possessive affixes	5.41666666667	-4.58333333333	Agneby	Niger-Congo	Nominal Categories
ady	Adyghe (Abzakh)	1	Possessive prefixes	45.2333333333	40.5833333333	Northwest Caucasian	Northwest Caucasian	Nominal Categories
awi	Aekyom	1	Possessive prefixes	-5.75	141.416666667	Elevala	Kamula-Elevala	Nominal Categories
aga	Agarabi	1	Possessive prefixes	-6.16666666667	146.0	Gauwa	Trans-New Guinea	Nominal Categories
agh	Aghem	4	No possessive affixes	6.66666666667	10.0	Wide Grassfields	Niger-Congo	Nominal Categories
agc	Agta (Central)	2	Possessive suffixes	17.9666666667	121.833333333	Greater Central Philippine	Austronesian	Nominal Categories
ain	Ainu	1	Possessive prefixes	43.0	143.0	Ainu	Ainu	Nominal Categories
ajg	Ajagbe	2	Possessive suffixes	7.0	1.75	Gbe	Niger-Congo	Nominal Categories
akn	Akan	1	Possessive prefixes	6.5	-1.25	Tano	Niger-Congo	Nominal Categories
ala	Alamblak	4	No possessive affixes	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Categories
alw	Alawa	2	Possessive suffixes	-15.1666666667	134.25	Mara	Mangarrayi-Maran	Nominal Categories
alb	Albanian	4	No possessive affixes	41.0	20.0	Albanian	Indo-European	Nominal Categories
ale	Aleut	2	Possessive suffixes	54.0	-166.0	Aleut	Eskimo-Aleut	Nominal Categories
als	Alsea	3	Prefixes and suffixes	44.6666666667	-123.916666667	Alsea	Oregon Coast	Nominal Categories
aln	Alune	3	Prefixes and suffixes	-3.0	128.333333333	Central Malayo-Polynesian	Austronesian	Nominal Categories
