Anna Siewierska. 2013. Order of Person Markers on the Verb.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
(Available online at http://wals.info/chapter/104, Accessed on 2025-03-22.)

wals code	name	value	description	latitude	longitude	genus	family	area
ani	//Ani	1	A and P do not or do not both occur on the verb	-18.9166666667	21.9166666667	Khoe-Kwadi	Khoe-Kwadi	Simple Clauses
abi	Abipón	2	A precedes P	-29.0	-61.0	Abipon	Guaicuruan	Simple Clauses
abk	Abkhaz	3	P precedes A	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Simple Clauses
abu	Abun	1	A and P do not or do not both occur on the verb	-0.5	132.5	Abun	Abun	Simple Clauses
ace	Acehnese	2	A precedes P	5.5	95.5	Malayo-Sumbawan	Austronesian	Simple Clauses
acm	Achumawi	5	A and P are fused	41.5	-121.0	Achumawi	Hokan	Simple Clauses
aco	Acoma	5	A and P are fused	34.9166666667	-107.583333333	Keresan	Keresan	Simple Clauses
adz	Adzera	1	A and P do not or do not both occur on the verb	-6.25	146.25	Oceanic	Austronesian	Simple Clauses
ain	Ainu	2	A precedes P	43.0	143.0	Ainu	Ainu	Simple Clauses
ala	Alamblak	2	A precedes P	-4.66666666667	143.333333333	Sepik Hill	Sepik	Simple Clauses
alb	Albanian	3	P precedes A	41.0	20.0	Albanian	Indo-European	Simple Clauses
ame	Amele	3	P precedes A	-5.25	145.583333333	Mabuso	Trans-New Guinea	Simple Clauses
amh	Amharic	2	A precedes P	10.0	38.0	Semitic	Afro-Asiatic	Simple Clauses
amu	Amuesha	2	A precedes P	-10.5	-75.4166666667	Yanesha'	Arawakan	Simple Clauses
anj	Anejom	1	A and P do not or do not both occur on the verb	-20.2	169.8	Oceanic	Austronesian	Simple Clauses
ane	Anêm	2	A precedes P	-5.58333333333	149.083333333	Anêm	Anêm	Simple Clauses
apu	Apurinã	2	A precedes P	-9.0	-67.0	Purus	Arawakan	Simple Clauses
abn	Arabana	1	A and P do not or do not both occur on the verb	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Simple Clauses
aeg	Arabic (Egyptian)	2	A precedes P	30.0	31.0	Semitic	Afro-Asiatic	Simple Clauses
ana	Araona	1	A and P do not or do not both occur on the verb	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Simple Clauses
arp	Arapesh (Mountain)	2	A precedes P	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Simple Clauses
arm	Armenian (Eastern)	1	A and P do not or do not both occur on the verb	40.0	45.0	Armenian	Indo-European	Simple Clauses
asm	Asmat	3	P precedes A	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Simple Clauses
atk	Atakapa	3	P precedes A	30.0	-93.5	Atakapa	Atakapa	Simple Clauses
ata	Atayal	1	A and P do not or do not both occur on the verb	24.5	121.333333333	Atayalic	Austronesian	Simple Clauses
au	Au	2	A precedes P	-3.58333333333	142.083333333	Central Wapei	Torricelli	Simple Clauses
awp	Awa Pit	1	A and P do not or do not both occur on the verb	1.5	-78.25	Barbacoan	Barbacoan	Simple Clauses
awt	Awtuw	1	A and P do not or do not both occur on the verb	-3.58333333333	142.0	Ram	Sepik	Simple Clauses
aym	Aymara (Central)	5	A and P are fused	-17.0	-69.0	Aymaran	Aymaran	Simple Clauses
bab	Babungo	1	A and P do not or do not both occur on the verb	6.11666666667	10.4166666667	Wide Grassfields	Niger-Congo	Simple Clauses
bag	Bagirmi	2	A precedes P	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Simple Clauses
bam	Bambara	1	A and P do not or do not both occur on the verb	12.5	-7.5	Western Mande	Mande	Simple Clauses
bnj	Bandjalang	1	A and P do not or do not both occur on the verb	-28.75	153.0	Southeastern Pama-Nyungan	Pama-Nyungan	Simple Clauses
baa	Barai	3	P precedes A	-9.33333333333	148.083333333	Koiarian	Trans-New Guinea	Simple Clauses
brs	Barasano	1	A and P do not or do not both occur on the verb	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Simple Clauses
bar	Bari	1	A and P do not or do not both occur on the verb	5.0	31.6666666667	Eastern Nilotic	Eastern Sudanic	Simple Clauses
bsq	Basque	3	P precedes A	43.0	-3.0	Basque	Basque	Simple Clauses
bkr	Batak (Karo)	1	A and P do not or do not both occur on the verb	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Simple Clauses
baw	Bawm	2	A precedes P	22.5	92.25	Kuki-Chin	Sino-Tibetan	Simple Clauses
bej	Beja	2	A precedes P	18.0	36.0	Beja	Afro-Asiatic	Simple Clauses
bma	Berber (Middle Atlas)	2	A precedes P	33.0	-5.0	Berber	Afro-Asiatic	Simple Clauses
ber	Berta	2	A precedes P	10.3333333333	34.6666666667	Berta	Berta	Simple Clauses
bln	Bilin	2	A precedes P	15.75	38.5	Central Cushitic	Afro-Asiatic	Simple Clauses
brr	Bororo	2	A precedes P	-16.0	-57.0	Bororoan	Bororoan	Simple Clauses
brh	Brahui	1	A and P do not or do not both occur on the verb	28.5	67.0	Dravidian	Dravidian	Simple Clauses
bri	Bribri	1	A and P do not or do not both occur on the verb	9.41666666667	-83.0	Western Isthmic Chibchan	Chibchan	Simple Clauses
bro	Broken	1	A and P do not or do not both occur on the verb	-10.1666666667	143.0	Creoles and Pidgins	other	Simple Clauses
brm	Burmese	1	A and P do not or do not both occur on the verb	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Simple Clauses
brn	Burunge	1	A and P do not or do not both occur on the verb	-5.33333333333	36.0	Southern Cushitic	Afro-Asiatic	Simple Clauses
bur	Burushaski	3	P precedes A	36.5	74.5	Burushaski	Burushaski	Simple Clauses
bya	Byansi	1	A and P do not or do not both occur on the verb	30.1666666667	80.5	Bodic	Sino-Tibetan	Simple Clauses
cah	Cahuilla	3	P precedes A	33.5	-116.25	Northern Uto-Aztecan	Uto-Aztecan	Simple Clauses
cax	Campa (Axininca)	2	A precedes P	-12.0	-74.0	Pre-Andine Arawakan	Arawakan	Simple Clauses
cnl	Canela	1	A and P do not or do not both occur on the verb	-7.0	-45.0	Je Setentrional	Macro-Ge	Simple Clauses
cap	Capanahua	1	A and P do not or do not both occur on the verb	-7.0	-74.0	Panoan	Pano-Tacanan	Simple Clauses
car	Carib	5	A and P are fused	5.5	-56.0	Cariban	Cariban	Simple Clauses
cav	Cavineña	1	A and P do not or do not both occur on the verb	-13.3333333333	-66.5	Tacanan	Pano-Tacanan	Simple Clauses
cyv	Cayuvava	2	A precedes P	-13.5	-65.5	Cayuvava	Cayuvava	Simple Clauses
cha	Chamorro	1	A and P do not or do not both occur on the verb	13.45	144.75	Chamorro	Austronesian	Simple Clauses
cpn	Chepang	1	A and P do not or do not both occur on the verb	27.6666666667	84.75	Himalayish	Sino-Tibetan	Simple Clauses
cle	Chinantec (Lealao)	1	A and P do not or do not both occur on the verb	17.3333333333	-95.9166666667	Chinantecan	Oto-Manguean	Simple Clauses
cku	Chinook (Upper)	2	A precedes P	45.62	-121.16	Chinookan	Penutian	Simple Clauses
chr	Chrau	1	A and P do not or do not both occur on the verb	10.75	107.5	Bahnaric	Austro-Asiatic	Simple Clauses
chk	Chukchi	2	A precedes P	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Simple Clauses
cba	Chumash (Barbareño)	2	A precedes P	34.5	-120.25	Chumash	Chumash	Simple Clauses
cbo	Chácobo	2	A precedes P	-12.1666666667	-66.75	Panoan	Pano-Tacanan	Simple Clauses
cmn	Comanche	3	P precedes A	33.5	-101.5	Northern Uto-Aztecan	Uto-Aztecan	Simple Clauses
cmx	Comox	3	P precedes A	50.1666666667	-125.0	Central Salish	Salishan	Simple Clauses
coo	Coos (Hanis)	5	A and P are fused	43.5	-124.166666667	Coosan	Oregon Coast	Simple Clauses
cop	Coptic	1	A and P do not or do not both occur on the verb	26.0	32.0	Egyptian-Coptic	Afro-Asiatic	Simple Clauses
cor	Cora	2	A precedes P	22.1666666667	-104.833333333	Corachol	Uto-Aztecan	Simple Clauses
