proform	person       	gender   	plurality	clitic  	nominative  	accusative  	genitive    	ablative    	dative      	locative    	instrumental																												
personal	1            		singular 	tonic   	eǵoH             	mé               	méme             	mét              	mébhi            																														
personal	1            		singular 	enclitic	eǵoH             	me               	mos              	mét              	mey              																														
personal	1            		dual     	tonic   	weh₁             	n̥h₁wé           	nō̆h₁            	nō̆h₁            	nō̆h₁            																														
personal	1            		dual     	enclitic	weh₁             	nō̆h₁            	nō̆h₁            	nō̆h₁            	nō̆h₁            																														
personal	1            		plural   	tonic   	wei              	n̥smé            	n̥sóm            	n̥smét           	n̥sméy           																														
personal	1            		plural   	enclitic	wei              	nō̆s             	nō̆s             	n̥smét           	nō̆s             																														
personal	2            		singular 	tonic   	tī̆              	twé              	téwe             	twét             	tébhi            																														
personal	2            		singular 	enclitic	tī̆              	te               	tos              	twét             	tey              																														
personal	2            		dual     	tonic   	yuh₁             	uh₁wé            	wō̆h₁            	wō̆h₁            	wō̆h₁            																														
personal	2            		dual     	enclitic	yuh₁             	wō̆h₁            	wō̆h₁            	wō̆h₁            	wō̆h₁            																														
personal	2            		plural   	tonic   	yūs              	usmé             	usóm             	usmét            	usméy            																														
personal	2            		plural   	enclitic	yūs              	wō̆s             	wō̆s             	usmét            	wō̆s             																														
personal	3            	masculine	singular 		ís               	ím               	ésyo             	ésmod            	ésmey            	ésmi             																													
personal	3	feminine	singular		íh₂              	íh₂m             	ésyeh₂s          	ésyeh₂s          	ésyeh₂ey         	                 																													
personal	3	neuter	singular		íd               	íd               	ésyo             	ésyo             	ésmey            	ésmi             																													
personal	3	masculine	plural		éyes             	íns              	éysom            	éysom            	eybʰ             	eysu             																													
personal	3	feminine	plural		íh₂es            	íh₂ms            	éysom            	éysom            	eybʰ             	eysu             																													
personal	3	neuter	plural		íh₂              	íh₂              	éysom            	éysom            	eybʰ             	eysu             																													
reflexive    		neuter				swé ~ se         	séwe ~ sos (adj.)	swét             	sébʰi ~ sey, soy 																														
interrogative		masculine	singular		kʷís             	kʷím             	kʷésyo           		kʷésmey          	kʷésmi           																													
interrogative		feminine	singular	        	kʷís             	kʷím             	kʷésyo           		kʷésmey          	kʷésmi           																													
interrogative		neuter	singular	        	kʷíd             	kʷíd             	kʷésyo           		kʷésmey          	kʷésmi           																													
interrogative		masculine	plural	        	kʷéyes           	kʷíms            	kʷéysom          		kʷeybʰ           	kʷeysu           																													
interrogative		feminine	plural	        	kʷéyes           	kʷíms            	kʷéysom          		kʷeybʰ           	kʷeysu           																													
interrogative		neuter	plural	        	kʷíh₂            	kʷíh₂            	kʷéysom          		kʷeybʰ           	kʷeysu           																													
demonstrative		masculine	singular	        	só               	tóm              	tósyo            	tósmead          	tósmey           	tósmi            	tónoh₁           																												
demonstrative		feminine	singular	        	séh₂             	tā́m             	tósyeh₂s         	tósyeh₂s         	tósyeh₂ey        	tósyeh₂          	téh₂(e)h₁        																												
demonstrative		neuter	singular	        	tód              	tód              	tósyo            	tósmead          	tósmey           	tósmi            	tónoh₁           																												
demonstrative		masculine	plural	        	tóy              	tóms             	tóysoHom         	tóymos           	tóymos           	tóysu            	tṓys             																												
demonstrative		feminine	plural	        	téh₂es           	téh₂m̥s          	téh₂soHom        	téh₂mos          	téh₂mos          	téh₂su           	téh₂bʰi          																												
demonstrative		neuter	plural	        	téh₂             	téh₂             	tóysoHom         	tóymos           	tóymos           	tóysu            	tṓys             																												
		         	         	        	                 																																		
